2019-01-30 09:44:56,377 INFO Initialized rank 0 out of 1
2019-01-30 09:44:56,377 INFO Configuration: {'output_dir': '${SCRATCH}/heptrkx/results/gnnsegclf_med_000', 'trainer': {'name': 'gnn', 'real_weight': 2.5, 'fake_weight': 0.625}, 'data': {'name': 'hitgraphs', 'input_dir': '${SCRATCH}/heptrkx/hitgraphs_med_000', 'n_train': 24, 'n_valid': 4, 'batch_size': 1, 'n_workers': 4}, 'model': {'name': 'gnn_segment_classifier', 'input_dim': 3, 'hidden_dim': 64, 'n_iters': 4, 'loss_func': 'binary_cross_entropy', 'optimizer': 'Adam', 'learning_rate': 0.001}, 'training': {'n_epochs': 16}}
2019-01-30 09:44:56,378 INFO Saving job outputs to /global/cscratch1/sd/esaliya/heptrkx/results/gnnsegclf_med_000
2019-01-30 09:44:56,384 INFO Loaded 24 training samples
2019-01-30 09:44:56,385 INFO Loaded 4 validation samples
2019-01-30 09:44:56,406 INFO Model: 
DistributedDataParallelCPU(
  (module): GNNSegmentClassifier(
    (input_network): Sequential(
      (0): Linear(in_features=3, out_features=64, bias=True)
      (1): Tanh()
    )
    (edge_network): EdgeNetwork(
      (network): Sequential(
        (0): Linear(in_features=134, out_features=64, bias=True)
        (1): Tanh()
        (2): Linear(in_features=64, out_features=1, bias=True)
        (3): Sigmoid()
      )
    )
    (node_network): NodeNetwork(
      (network): Sequential(
        (0): Linear(in_features=201, out_features=64, bias=True)
        (1): Tanh()
        (2): Linear(in_features=64, out_features=64, bias=True)
        (3): Tanh()
      )
    )
  )
)
Parameters: 26049
2019-01-30 09:44:56,406 INFO Epoch 0
2019-01-30 09:45:06,538 DEBUG   batch 0, loss 0.535693
2019-01-30 09:45:08,722 DEBUG   batch 1, loss 0.513513
2019-01-30 09:45:13,065 DEBUG   batch 2, loss 0.449475
2019-01-30 09:45:15,087 DEBUG   batch 3, loss 0.478333
2019-01-30 09:45:16,759 DEBUG   batch 4, loss 0.487683
2019-01-30 09:45:24,068 DEBUG   batch 5, loss 0.366230
2019-01-30 09:45:27,024 DEBUG   batch 6, loss 0.449499
2019-01-30 09:45:34,204 DEBUG   batch 7, loss 0.368807
2019-01-30 09:45:35,349 DEBUG   batch 8, loss 0.573271
2019-01-30 09:45:38,106 DEBUG   batch 9, loss 0.455423
2019-01-30 09:45:40,745 DEBUG   batch 10, loss 0.445646
2019-01-30 09:45:45,826 DEBUG   batch 11, loss 0.394354
2019-01-30 09:45:48,397 DEBUG   batch 12, loss 0.441087
2019-01-30 09:45:49,981 DEBUG   batch 13, loss 0.487865
2019-01-30 09:45:54,593 DEBUG   batch 14, loss 0.413065
2019-01-30 09:45:56,513 DEBUG   batch 15, loss 0.477754
2019-01-30 09:46:00,485 DEBUG   batch 16, loss 0.412927
2019-01-30 09:46:05,053 DEBUG   batch 17, loss 0.397422
2019-01-30 09:46:07,312 DEBUG   batch 18, loss 0.455477
2019-01-30 09:46:11,873 DEBUG   batch 19, loss 0.390841
2019-01-30 09:46:14,748 DEBUG   batch 20, loss 0.430279
2019-01-30 09:46:19,142 DEBUG   batch 21, loss 0.400957
2019-01-30 09:46:23,643 DEBUG   batch 22, loss 0.395630
2019-01-30 09:46:29,528 DEBUG   batch 23, loss 0.378903
2019-01-30 09:46:29,537 DEBUG  Processed 24 batches
2019-01-30 09:46:29,538 INFO   Training loss: 0.442
