`bottleneck` is a tool that can be used as an initial step for debugging
bottlenecks in your program.

It summarizes runs of your script with the Python profiler and PyTorch's
autograd profiler. Because your script will be profiled, please ensure that it
exits in a finite amount of time.

For more complicated uses of the profilers, please see
https://docs.python.org/3/library/profile.html and
https://pytorch.org/docs/master/autograd.html#profiler for more information.
Running environment analysis...
Running your script with cProfile
2019-01-30 09:13:18,388 INFO Initialized rank 0 out of 1
2019-01-30 09:13:18,388 INFO Configuration: {'output_dir': '${SCRATCH}/heptrkx/results/gnnsegclf_med_000', 'trainer': {'name': 'gnn', 'real_weight': 2.5, 'fake_weight': 0.625}, 'data': {'name': 'hitgraphs', 'input_dir': '${SCRATCH}/heptrkx/hitgraphs_med_000', 'n_train': 24, 'n_valid': 4, 'batch_size': 1, 'n_workers': 4}, 'model': {'name': 'gnn_segment_classifier', 'input_dim': 3, 'hidden_dim': 64, 'n_iters': 4, 'loss_func': 'binary_cross_entropy', 'optimizer': 'Adam', 'learning_rate': 0.001}, 'training': {'n_epochs': 16}}
2019-01-30 09:13:18,388 INFO Saving job outputs to /global/cscratch1/sd/esaliya/heptrkx/results/gnnsegclf_med_000
2019-01-30 09:13:18,404 INFO Loaded 24 training samples
2019-01-30 09:13:18,404 INFO Loaded 4 validation samples
2019-01-30 09:13:18,555 INFO Model: 
DistributedDataParallelCPU(
  (module): GNNSegmentClassifier(
    (input_network): Sequential(
      (0): Linear(in_features=3, out_features=64, bias=True)
      (1): Tanh()
    )
    (edge_network): EdgeNetwork(
      (network): Sequential(
        (0): Linear(in_features=134, out_features=64, bias=True)
        (1): Tanh()
        (2): Linear(in_features=64, out_features=1, bias=True)
        (3): Sigmoid()
      )
    )
    (node_network): NodeNetwork(
      (network): Sequential(
        (0): Linear(in_features=201, out_features=64, bias=True)
        (1): Tanh()
        (2): Linear(in_features=64, out_features=64, bias=True)
        (3): Tanh()
      )
    )
  )
)
Parameters: 26049
2019-01-30 09:13:18,555 INFO Epoch 0
2019-01-30 09:13:22,064 DEBUG   batch 0, loss 0.540380
2019-01-30 09:13:24,130 DEBUG   batch 1, loss 0.507746
2019-01-30 09:13:28,722 DEBUG   batch 2, loss 0.429809
2019-01-30 09:13:33,134 DEBUG   batch 3, loss 0.416700
2019-01-30 09:13:39,059 DEBUG   batch 4, loss 0.384485
2019-01-30 09:13:47,313 DEBUG   batch 5, loss 0.355418
2019-01-30 09:13:51,562 DEBUG   batch 6, loss 0.421213
2019-01-30 09:13:56,532 DEBUG   batch 7, loss 0.406975
2019-01-30 09:14:01,164 DEBUG   batch 8, loss 0.417410
2019-01-30 09:14:03,189 DEBUG   batch 9, loss 0.501705
2019-01-30 09:14:05,372 DEBUG   batch 10, loss 0.471564
2019-01-30 09:14:09,743 DEBUG   batch 11, loss 0.402166
2019-01-30 09:14:12,154 DEBUG   batch 12, loss 0.454703
2019-01-30 09:14:19,335 DEBUG   batch 13, loss 0.380790
2019-01-30 09:14:26,752 DEBUG   batch 14, loss 0.382316
2019-01-30 09:14:28,427 DEBUG   batch 15, loss 0.488842
2019-01-30 09:14:33,733 DEBUG   batch 16, loss 0.391871
2019-01-30 09:14:38,230 DEBUG   batch 17, loss 0.397573
2019-01-30 09:14:40,039 DEBUG   batch 18, loss 0.475977
2019-01-30 09:14:42,553 DEBUG   batch 19, loss 0.438854
2019-01-30 09:14:45,211 DEBUG   batch 20, loss 0.442031
2019-01-30 09:14:46,114 DEBUG   batch 21, loss 0.543988
2019-01-30 09:14:48,854 DEBUG   batch 22, loss 0.440017
2019-01-30 09:14:51,048 DEBUG   batch 23, loss 0.454832
2019-01-30 09:14:51,058 DEBUG  Processed 24 batches
2019-01-30 09:14:51,059 INFO   Training loss: 0.439
2019-01-30 09:14:52,297 DEBUG  batch 0
2019-01-30 09:14:54,232 DEBUG  batch 1
2019-01-30 09:14:56,102 DEBUG  batch 2
2019-01-30 09:14:56,766 DEBUG  batch 3
2019-01-30 09:14:57,878 DEBUG  Processed 4 samples in 4 batches
2019-01-30 09:14:57,878 INFO   Validation loss: 0.390 acc: 0.924
2019-01-30 09:14:57,948 INFO Epoch 1
2019-01-30 09:15:01,443 DEBUG   batch 0, loss 0.439700
2019-01-30 09:15:03,496 DEBUG   batch 1, loss 0.460274
2019-01-30 09:15:08,116 DEBUG   batch 2, loss 0.398471
2019-01-30 09:15:12,542 DEBUG   batch 3, loss 0.407382
2019-01-30 09:15:18,443 DEBUG   batch 4, loss 0.381816
2019-01-30 09:15:26,778 DEBUG   batch 5, loss 0.354652
2019-01-30 09:15:31,028 DEBUG   batch 6, loss 0.407686
2019-01-30 09:15:36,002 DEBUG   batch 7, loss 0.392951
2019-01-30 09:15:40,685 DEBUG   batch 8, loss 0.402325
2019-01-30 09:15:42,675 DEBUG   batch 9, loss 0.477464
2019-01-30 09:15:44,869 DEBUG   batch 10, loss 0.461122
2019-01-30 09:15:49,239 DEBUG   batch 11, loss 0.399383
2019-01-30 09:15:51,673 DEBUG   batch 12, loss 0.453321
2019-01-30 09:15:58,853 DEBUG   batch 13, loss 0.366569
2019-01-30 09:16:06,276 DEBUG   batch 14, loss 0.366043
2019-01-30 09:16:07,950 DEBUG   batch 15, loss 0.485740
2019-01-30 09:16:13,263 DEBUG   batch 16, loss 0.382931
2019-01-30 09:16:17,759 DEBUG   batch 17, loss 0.393934
2019-01-30 09:16:19,611 DEBUG   batch 18, loss 0.473756
2019-01-30 09:16:22,189 DEBUG   batch 19, loss 0.436856
2019-01-30 09:16:24,963 DEBUG   batch 20, loss 0.439583
2019-01-30 09:16:25,933 DEBUG   batch 21, loss 0.533547
2019-01-30 09:16:28,674 DEBUG   batch 22, loss 0.437741
2019-01-30 09:16:30,875 DEBUG   batch 23, loss 0.452350
2019-01-30 09:16:30,895 DEBUG  Processed 24 batches
2019-01-30 09:16:30,895 INFO   Training loss: 0.425
2019-01-30 09:16:32,069 DEBUG  batch 0
2019-01-30 09:16:33,999 DEBUG  batch 1
2019-01-30 09:16:35,840 DEBUG  batch 2
2019-01-30 09:16:36,379 DEBUG  batch 3
2019-01-30 09:16:37,491 DEBUG  Processed 4 samples in 4 batches
2019-01-30 09:16:37,491 INFO   Validation loss: 0.394 acc: 0.923
2019-01-30 09:16:37,555 INFO Epoch 2
2019-01-30 09:16:40,942 DEBUG   batch 0, loss 0.437484
2019-01-30 09:16:42,996 DEBUG   batch 1, loss 0.457992
2019-01-30 09:16:47,609 DEBUG   batch 2, loss 0.391778
2019-01-30 09:16:51,983 DEBUG   batch 3, loss 0.402286
2019-01-30 09:16:57,884 DEBUG   batch 4, loss 0.377766
2019-01-30 09:17:06,154 DEBUG   batch 5, loss 0.352124
2019-01-30 09:17:10,436 DEBUG   batch 6, loss 0.407833
2019-01-30 09:17:15,422 DEBUG   batch 7, loss 0.392862
2019-01-30 09:17:20,115 DEBUG   batch 8, loss 0.401404
2019-01-30 09:17:22,154 DEBUG   batch 9, loss 0.471130
2019-01-30 09:17:24,349 DEBUG   batch 10, loss 0.455267
2019-01-30 09:17:28,722 DEBUG   batch 11, loss 0.398006
2019-01-30 09:17:31,155 DEBUG   batch 12, loss 0.450351
2019-01-30 09:17:38,340 DEBUG   batch 13, loss 0.364960
2019-01-30 09:17:45,772 DEBUG   batch 14, loss 0.360905
2019-01-30 09:17:47,472 DEBUG   batch 15, loss 0.485759
2019-01-30 09:17:52,801 DEBUG   batch 16, loss 0.381466
2019-01-30 09:17:57,299 DEBUG   batch 17, loss 0.393004
2019-01-30 09:17:59,160 DEBUG   batch 18, loss 0.471832
2019-01-30 09:18:01,738 DEBUG   batch 19, loss 0.436062
2019-01-30 09:18:04,511 DEBUG   batch 20, loss 0.439399
2019-01-30 09:18:05,475 DEBUG   batch 21, loss 0.531162
2019-01-30 09:18:08,214 DEBUG   batch 22, loss 0.437507
2019-01-30 09:18:10,409 DEBUG   batch 23, loss 0.450927
2019-01-30 09:18:10,440 DEBUG  Processed 24 batches
2019-01-30 09:18:10,440 INFO   Training loss: 0.423
2019-01-30 09:18:11,643 DEBUG  batch 0
2019-01-30 09:18:13,604 DEBUG  batch 1
2019-01-30 09:18:15,456 DEBUG  batch 2
2019-01-30 09:18:16,001 DEBUG  batch 3
2019-01-30 09:18:16,875 DEBUG  Processed 4 samples in 4 batches
2019-01-30 09:18:16,875 INFO   Validation loss: 0.381 acc: 0.922
2019-01-30 09:18:16,942 INFO Epoch 3
2019-01-30 09:18:20,412 DEBUG   batch 0, loss 0.435900
2019-01-30 09:18:22,408 DEBUG   batch 1, loss 0.456891
2019-01-30 09:18:26,983 DEBUG   batch 2, loss 0.389625
2019-01-30 09:18:31,410 DEBUG   batch 3, loss 0.401476
2019-01-30 09:18:37,307 DEBUG   batch 4, loss 0.376733
2019-01-30 09:18:45,629 DEBUG   batch 5, loss 0.351350
2019-01-30 09:18:49,935 DEBUG   batch 6, loss 0.406416
2019-01-30 09:18:54,968 DEBUG   batch 7, loss 0.391475
2019-01-30 09:18:59,671 DEBUG   batch 8, loss 0.399871
2019-01-30 09:19:01,649 DEBUG   batch 9, loss 0.467379
2019-01-30 09:19:03,830 DEBUG   batch 10, loss 0.453210
2019-01-30 09:19:08,274 DEBUG   batch 11, loss 0.397542
2019-01-30 09:19:10,686 DEBUG   batch 12, loss 0.449687
2019-01-30 09:19:17,890 DEBUG   batch 13, loss 0.363264
2019-01-30 09:19:25,350 DEBUG   batch 14, loss 0.357552
2019-01-30 09:19:27,036 DEBUG   batch 15, loss 0.483731
2019-01-30 09:19:32,344 DEBUG   batch 16, loss 0.380135
2019-01-30 09:19:36,834 DEBUG   batch 17, loss 0.392440
2019-01-30 09:19:38,693 DEBUG   batch 18, loss 0.470146
2019-01-30 09:19:41,288 DEBUG   batch 19, loss 0.434876
2019-01-30 09:19:44,122 DEBUG   batch 20, loss 0.437683
2019-01-30 09:19:45,064 DEBUG   batch 21, loss 0.528998
2019-01-30 09:19:47,795 DEBUG   batch 22, loss 0.436802
2019-01-30 09:19:50,017 DEBUG   batch 23, loss 0.450213
2019-01-30 09:19:50,060 DEBUG  Processed 24 batches
2019-01-30 09:19:50,061 INFO   Training loss: 0.421
2019-01-30 09:19:51,237 DEBUG  batch 0
2019-01-30 09:19:53,187 DEBUG  batch 1
2019-01-30 09:19:55,044 DEBUG  batch 2
2019-01-30 09:19:55,586 DEBUG  batch 3
2019-01-30 09:19:56,699 DEBUG  Processed 4 samples in 4 batches
2019-01-30 09:19:56,700 INFO   Validation loss: 0.373 acc: 0.920
2019-01-30 09:19:56,778 INFO Epoch 4
2019-01-30 09:20:00,168 DEBUG   batch 0, loss 0.435034
2019-01-30 09:20:02,234 DEBUG   batch 1, loss 0.455554
2019-01-30 09:20:06,866 DEBUG   batch 2, loss 0.388025
2019-01-30 09:20:11,304 DEBUG   batch 3, loss 0.400511
2019-01-30 09:20:17,276 DEBUG   batch 4, loss 0.376106
2019-01-30 09:20:25,621 DEBUG   batch 5, loss 0.350532
2019-01-30 09:20:29,959 DEBUG   batch 6, loss 0.405883
2019-01-30 09:20:35,017 DEBUG   batch 7, loss 0.390785
2019-01-30 09:20:39,620 DEBUG   batch 8, loss 0.399018
2019-01-30 09:20:41,653 DEBUG   batch 9, loss 0.464928
2019-01-30 09:20:43,865 DEBUG   batch 10, loss 0.451577
2019-01-30 09:20:48,302 DEBUG   batch 11, loss 0.397161
2019-01-30 09:20:50,716 DEBUG   batch 12, loss 0.449376
2019-01-30 09:20:57,898 DEBUG   batch 13, loss 0.362297
2019-01-30 09:21:05,353 DEBUG   batch 14, loss 0.355560
2019-01-30 09:21:07,052 DEBUG   batch 15, loss 0.482153
2019-01-30 09:21:12,372 DEBUG   batch 16, loss 0.379210
2019-01-30 09:21:16,881 DEBUG   batch 17, loss 0.392139
2019-01-30 09:21:18,689 DEBUG   batch 18, loss 0.469475
2019-01-30 09:21:21,301 DEBUG   batch 19, loss 0.434216
2019-01-30 09:21:24,080 DEBUG   batch 20, loss 0.436632
2019-01-30 09:21:25,072 DEBUG   batch 21, loss 0.527985
2019-01-30 09:21:27,818 DEBUG   batch 22, loss 0.436084
2019-01-30 09:21:30,051 DEBUG   batch 23, loss 0.449646
2019-01-30 09:21:30,075 DEBUG  Processed 24 batches
2019-01-30 09:21:30,075 INFO   Training loss: 0.420
2019-01-30 09:21:31,219 DEBUG  batch 0
2019-01-30 09:21:33,134 DEBUG  batch 1
2019-01-30 09:21:34,968 DEBUG  batch 2
2019-01-30 09:21:35,503 DEBUG  batch 3
2019-01-30 09:21:36,613 DEBUG  Processed 4 samples in 4 batches
2019-01-30 09:21:36,613 INFO   Validation loss: 0.368 acc: 0.919
2019-01-30 09:21:36,678 INFO Epoch 5
